Hour_End_North,Load,Settlement Point Price,Load Std,Price Std
11/1/2015 0:00,613.24058,19.68,-1.165127208,0.124177146
11/1/2015 1:00,588.7440354,19.13,-1.464674403,0.068945558
11/1/2015 2:00,573.7565624,17.80,-1.647943332,-0.064614463
11/1/2015 3:00,558.7908006,17.69,-1.830946773,-0.075660781
11/1/2015 4:00,557.1310969,17.69,-1.851241863,-0.075660781
11/1/2015 5:00,555.4653485,17.67,-1.871610869,-0.077669202
11/1/2015 6:00,557.9053541,17.67,-1.841774137,-0.077669202
11/1/2015 7:00,576.6370329,17.71,-1.612720533,-0.073652359
11/1/2015 8:00,601.4173674,19.88,-1.309703116,0.14426136
11/1/2015 9:00,640.5245321,19.68,-0.831495203,0.124177146
11/1/2015 10:00,664.8463406,20.79,-0.534084706,0.235644532
11/1/2015 11:00,667.3969152,21.27,-0.502895921,0.283846645
11/1/2015 12:00,664.7069099,19.42,-0.535789684,0.098067668
11/1/2015 13:00,664.0922011,19.75,-0.54330643,0.131206621
11/1/2015 14:00,665.3253359,19.43,-0.528227484,0.099071879
11/1/2015 15:00,666.2885951,19.90,-0.516448615,0.146269781
11/1/2015 16:00,671.5263993,19.73,-0.452400009,0.129198199
11/1/2015 17:00,677.6374486,20.78,-0.377673238,0.234640321
11/1/2015 18:00,693.4775771,22.26,-0.183977917,0.383263503
11/1/2015 19:00,717.1342109,20.39,0.10529873,0.195476105
11/1/2015 20:00,714.7634935,19.29,0.076309264,0.085012929
11/1/2015 21:00,689.2284138,19.67,-0.235937284,0.123172935
11/1/2015 22:00,656.1775188,17.54,-0.640088279,-0.090723941
11/1/2015 23:00,614.10584,16.12,-1.154546687,-0.233321858
11/2/2015 0:00,578.58203,13.42,-1.588936835,-0.504458743
11/2/2015 1:00,558.8443515,13.90,-1.830291945,-0.456256631
11/2/2015 2:00,546.5820787,12.77,-1.980236742,-0.569732438
11/2/2015 3:00,538.6713341,11.62,-2.07697044,-0.685216667
11/2/2015 4:00,543.164527,11.98,-2.022027045,-0.649065082
11/2/2015 5:00,553.1865061,13.18,-1.899476875,-0.5285598
11/2/2015 6:00,590.7938446,15.77,-1.439609047,-0.268469232
11/2/2015 7:00,657.3985157,17.74,-0.625157757,-0.070639727
11/2/2015 8:00,677.2550336,18.44,-0.382349461,-0.000344979
11/2/2015 9:00,685.8093275,20.64,-0.277746352,0.220581372
11/2/2015 10:00,702.4881878,20.08,-0.073794901,0.164345573
11/2/2015 11:00,713.1005657,20.24,0.055974749,0.180412944
11/2/2015 12:00,720.173701,20.93,0.142466043,0.249703482
