Hour_End_North,Load,Settlement Point Price,Load Std,Price Std,20,700,$,
11/1/2015 0:00,613.24058,19.68,-1.165127208,0.124177146,1,0,-19.68,-19.68
11/1/2015 1:00,588.7440354,19.13,-1.464674403,0.068945558,-1,0,19.13,-0.55
11/1/2015 2:00,573.7565624,17.8,-1.647943332,-0.064614463,1,1,-17.8,-18.35
11/1/2015 3:00,558.7908006,17.69,-1.830946773,-0.075660781,1,2,-17.69,-36.04
11/1/2015 4:00,557.1310969,17.69,-1.851241863,-0.075660781,1,3,-17.69,-53.73
11/1/2015 5:00,555.4653485,17.67,-1.871610869,-0.077669202,1,4,-17.67,-71.4
11/1/2015 6:00,557.9053541,17.67,-1.841774137,-0.077669202,1,5,-17.67,-89.07
11/1/2015 7:00,576.6370329,17.71,-1.612720533,-0.073652359,1,6,-17.71,-106.78
11/1/2015 8:00,601.4173674,19.88,-1.309703116,0.14426136,1,7,-19.88,-126.66
11/1/2015 9:00,640.5245321,19.68,-0.831495203,0.124177146,1,8,-19.68,-146.34
11/1/2015 10:00,664.8463406,20.79,-0.534084706,0.235644532,1,9,-20.79,-167.13
11/1/2015 11:00,667.3969152,21.27,-0.502895921,0.283846645,1,10,-21.27,-188.4
11/1/2015 12:00,664.7069099,19.42,-0.535789684,0.098067668,1,11,-19.42,-207.82
11/1/2015 13:00,664.0922011,19.75,-0.54330643,0.131206621,1,12,-19.75,-227.57
11/1/2015 14:00,665.3253359,19.43,-0.528227484,0.099071879,1,13,-19.43,-247
11/1/2015 15:00,666.2885951,19.9,-0.516448615,0.146269781,1,14,-19.9,-266.9
11/1/2015 16:00,671.5263993,19.73,-0.452400009,0.129198199,1,15,-19.73,-286.63
11/1/2015 17:00,677.6374486,20.78,-0.377673238,0.234640321,1,16,-20.78,-307.41
11/1/2015 18:00,693.4775771,22.26,-0.183977917,0.383263503,1,17,-22.26,-329.67
11/1/2015 19:00,717.1342109,20.39,0.10529873,0.195476105,1,18,-20.39,-350.06
11/1/2015 20:00,714.7634935,19.29,0.076309264,0.085012929,1,19,-19.29,-369.35
11/1/2015 21:00,689.2284138,19.67,-0.235937284,0.123172935,1,20,-19.67,-389.02
11/1/2015 22:00,656.1775188,17.54,-0.640088279,-0.090723941,1,21,-17.54,-406.56
11/1/2015 23:00,614.10584,16.12,-1.154546687,-0.233321858,1,22,-16.12,-422.68
11/2/2015 0:00,578.58203,13.42,-1.588936835,-0.504458743,1,23,-13.42,-436.1
11/2/2015 1:00,558.8443515,13.9,-1.830291945,-0.456256631,1,24,-13.9,-450
11/2/2015 2:00,546.5820787,12.77,-1.980236742,-0.569732438,1,25,-12.77,-462.77
11/2/2015 3:00,538.6713341,11.62,-2.07697044,-0.685216667,1,26,-11.62,-474.39
11/2/2015 4:00,543.164527,11.98,-2.022027045,-0.649065082,1,27,-11.98,-486.37
11/2/2015 5:00,553.1865061,13.18,-1.899476875,-0.5285598,1,28,-13.18,-499.55
11/2/2015 6:00,590.7938446,15.77,-1.439609047,-0.268469232,1,29,-15.77,-515.32
11/2/2015 7:00,657.3985157,17.74,-0.625157757,-0.070639727,1,30,-17.74,-533.06
11/2/2015 8:00,677.2550336,18.44,-0.382349461,-0.000344979,1,31,-18.44,-551.5
11/2/2015 9:00,685.8093275,20.64,-0.277746352,0.220581372,1,32,-20.64,-572.14
11/2/2015 10:00,702.4881878,20.08,-0.073794901,0.164345573,1,33,-20.08,-592.22
11/2/2015 11:00,713.1005657,20.24,0.055974749,0.180412944,1,34,-20.24,-612.46
11/2/2015 12:00,720.173701,20.93,0.142466043,0.249703482,1,35,-20.93,-633.39
11/2/2015 13:00,725.070063,21.82,0.202339446,0.339078233,1,36,-21.82,-655.21
11/2/2015 14:00,735.9601053,22.63,0.335504416,0.420419298,1,37,-22.63,-677.84
11/2/2015 15:00,743.4392283,24.06,0.426960184,0.564021426,1,38,-24.06,-701.9
11/2/2015 16:00,745.7468657,23.36,0.455178299,0.493726678,1,39,-23.36,-725.26
11/2/2015 17:00,745.630658,20.77,0.453757296,0.233636111,1,40,-20.77,-746.03
11/2/2015 18:00,742.3505087,20.11,0.413647168,0.167358205,1,41,-20.11,-766.14
11/2/2015 19:00,767.549887,17.98,0.721788711,-0.046538671,1,42,-17.98,-784.12
11/2/2015 20:00,755.3744292,17.26,0.5729055,-0.11884184,1,43,-17.26,-801.38
11/2/2015 21:00,732.5685518,15.39,0.294032022,-0.306629238,1,44,-15.39,-816.77
11/2/2015 22:00,700.5748614,17.65,-0.097191326,-0.079677623,1,45,-17.65,-834.42
11/2/2015 23:00,654.5242234,13.15,-0.660305008,-0.531572432,1,46,-13.15,-847.57
11/3/2015 0:00,611.10413,3.67,-1.19125202,-1.483564162,1,47,-3.67,-851.24
11/3/2015 1:00,592.3206588,3.63,-1.420938949,-1.487581005,1,48,-3.63,-854.87
11/3/2015 2:00,579.3987478,4.79,-1.578949895,-1.371092565,1,49,-4.79,-859.66
11/3/2015 3:00,572.5020066,2.71,-1.663284217,-1.579968388,1,50,-2.71,-862.37
11/3/2015 4:00,574.1800171,8.75,-1.642765268,-0.973425134,1,51,-8.75,-871.12
11/3/2015 5:00,577.8862486,9.05,-1.597444947,-0.943298813,1,52,-9.05,-880.17
11/3/2015 6:00,602.4183232,13.63,-1.297463288,-0.483370319,1,53,-13.63,-893.8
11/3/2015 7:00,665.2528506,14.64,-0.529113844,-0.38194504,1,54,-14.64,-908.44
11/3/2015 8:00,681.2759828,17.01,-0.33318073,-0.143947107,1,55,-17.01,-925.45
11/3/2015 9:00,694.1616763,18.61,-0.175612655,0.016726602,1,56,-18.61,-944.06
11/3/2015 10:00,705.8053063,18.28,-0.03323271,-0.01641235,1,57,-18.28,-962.34
11/3/2015 11:00,717.0996859,18.94,0.104876553,0.049865555,1,58,-18.94,-981.28
11/3/2015 12:00,724.4315953,17.86,0.194532173,-0.058589199,1,59,-17.86,-999.14
11/3/2015 13:00,731.1758602,18.79,0.277001994,0.034802395,1,60,-18.79,-1017.93
11/3/2015 14:00,747.5194571,18.81,0.476853797,0.036810816,1,61,-18.81,-1036.74
11/3/2015 15:00,760.9810047,19.44,0.641463495,0.100076089,1,62,-19.44,-1056.18
11/3/2015 16:00,762.1769207,19.12,0.656087323,0.067941347,1,63,-19.12,-1075.3
11/3/2015 17:00,764.3529248,18.89,0.682695808,0.044844502,1,64,-18.89,-1094.19
11/3/2015 18:00,764.6626553,18.53,0.686483236,0.008692917,1,65,-18.53,-1112.72
11/3/2015 19:00,783.4958819,17.2,0.916778581,-0.124867104,1,66,-17.2,-1129.92
11/3/2015 20:00,773.025092,16.77,0.788740289,-0.168048164,1,67,-16.77,-1146.69
11/3/2015 21:00,754.5389711,12.51,0.562689401,-0.595841916,1,68,-12.51,-1159.2
11/3/2015 22:00,713.9966852,17.27,0.066932624,-0.117837629,1,69,-17.27,-1176.47
11/3/2015 23:00,667.3657839,12.42,-0.503276599,-0.604879812,1,70,-12.42,-1188.89
11/4/2015 0:00,623.98576,13.61,-1.033733635,-0.48537874,1,71,-13.61,-1202.5
11/4/2015 1:00,597.3952754,9.9,-1.358885822,-0.857940905,1,72,-9.9,-1212.4
